

Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,

Dylan,Crews,LS............,.426,71-71,258,100,110,16,2,18,70,184,.713,71,14,46,4,.567,1,0,6-6,
Charlie,Condon,UG.........,.386,56-56,210,61,81,10,1,25,67,168,.800,33,9,45,6,.484,2,0,0-0,
Connor,Tate,UG............,.377,56-56,220,59,83,19,0,16,54,150,.682,30,5,45,5,.459,2,0,7-9,
Kemp,Alderman,UM..........,.376,54-54,213,44,80,14,0,19,61,151,.709,26,1,41,3,.440,3,0,5-6,
Ethan,Petry,SC............,.376,63-61,221,55,83,10,0,23,75,162,.733,33,14,59,5,.471,8,0,4-6,
Tommy,White,LS............,.374,66-66,273,64,102,24,0,24,105,198,.725,23,9,41,9,.432,5,0,0-0,
Wyatt,Langford,UF.........,.373,64-64,236,83,88,28,3,21,57,185,.784,56,7,44,1,.498,4,0,9-10,
Ike,Irish,AU..............,.361,58-58,238,48,86,24,1,6,50,130,.546,26,5,45,7,.429,4,0,3-3,
Tommy,Seidl,UA............,.355,60-55,197,53,70,11,0,9,44,108,.548,32,8,48,2,.456,4,0,8-12,
Jack,Moss,AM..............,.355,65-65,262,53,93,15,1,4,38,122,.466,47,4,46,2,.457,2,0,3-5,
Bryson,Ware,AU............,.350,58-58,223,66,78,11,1,24,63,163,.731,30,9,46,6,.438,5,3,6-8,
Josh,Rivera,UF............,.348,70-70,256,70,89,10,1,19,72,158,.617,46,4,35,5,.447,5,1,18-22,
Bobby,Peirce,AU...........,.343,46-45,181,43,62,10,2,5,26,91,.503,15,8,37,1,.411,3,0,4-5,
Andrew,Pinckney,UA........,.339,64-64,233,55,79,12,3,18,58,151,.648,40,7,68,3,.442,5,3,8-9,
Jackson,Gray,UK...........,.338,60-60,219,70,74,15,6,6,33,119,.543,41,25,60,2,.491,0,5,19-26,
Cole,Foster,AU............,.336,55-55,223,57,75,13,0,13,49,127,.570,30,7,50,3,.429,1,2,5-7,
Jared,Dickey,UT...........,.328,63-61,244,55,80,6,3,12,52,128,.525,20,7,34,4,.392,2,0,7-10,
Jacob,Gonzalez,UM.........,.327,54-54,202,46,66,18,0,10,51,114,.564,35,9,28,3,.435,7,0,0-2,
Hunter,Gilliam,UK.........,.324,60-60,225,46,73,13,1,12,71,124,.551,30,10,45,1,.414,8,3,1-3,
Cade,Beloso,LS............,.324,58-49,185,43,60,5,1,16,49,115,.622,38,11,32,3,.462,2,1,2-4,
Hunter,Haas,AM............,.323,64-64,251,61,81,14,1,10,46,127,.506,49,9,39,5,.447,2,0,7-10,
Jac,Caglianone,UF.........,.323,70-70,282,74,91,14,2,33,90,208,.738,17,16,58,5,.389,4,0,4-6,
Calvin,Harris,UM..........,.321,54-54,209,52,67,14,2,12,46,121,.579,29,1,40,5,.398,5,0,2-2,
Ledbetter,Colton,MS......,.320,53-53,197,52,63,12,1,12,52,113,.574,47,2,36,3,.452,2,0,17-18,
Emilien,Pitre,UK..........,.318,61-61,223,51,71,16,1,1,51,92,.413,42,9,35,2,.440,3,4,20-24,
Jace,Bohrofen,AR..........,.318,60-60,214,54,68,15,0,16,52,131,.612,32,16,63,3,.436,4,1,7-10,
Tre',Morgan,LS............,.316,69-69,269,66,85,15,4,9,53,135,.502,35,18,33,5,.418,8,0,0-1,
Ed,Johnson,UA.............,.315,60-56,200,38,63,8,1,6,42,91,.455,34,6,34,2,.426,2,5,5-8,
Luke,Heyman,UF............,.314,55-51,191,30,60,6,2,12,39,106,.555,18,1,53,1,.366,6,0,1-1,
Maui,Ahuna,UT.............,.312,53-52,205,43,64,20,1,8,42,110,.537,37,4,77,0,.425,1,0,4-7,
Ty,Wilmsmeyer,MO..........,.311,54-54,193,40,60,10,1,7,25,93,.482,15,7,43,1,.380,1,4,21-24,
Griffin,Merritt,UT........,.311,61-51,193,42,60,11,0,18,48,125,.648,18,9,50,5,.392,2,0,2-2,
Luke,Mann,MO..............,.311,54-54,206,54,64,11,1,21,54,140,.680,32,11,59,2,.428,1,0,7-8,
Trevor,Austin,MO..........,.311,54-54,190,45,59,11,2,8,36,98,.516,32,15,39,1,.438,5,0,10-12,
Caleb,Cali,AR.............,.308,51-46,172,38,53,8,0,9,37,88,.512,27,4,41,4,.412,1,0,3-5,
Cole,Messina,SC...........,.307,62-62,231,62,71,18,1,17,65,142,.615,40,11,48,5,.428,3,0,8-8,
Jordan,Dakota,MS.........,.307,44-41,153,29,47,9,1,10,40,88,.575,25,1,46,2,.397,5,0,4-6,
Rj,Schreck,VU.............,.306,62-62,216,53,66,15,2,14,59,127,.588,48,18,32,3,.454,9,1,6-8,
Drew,Williamson,UA........,.304,64-64,237,43,72,6,0,15,59,123,.519,42,3,69,0,.411,3,2,3-6,
Braylen,Wimmer,SC.........,.304,56-56,214,64,65,11,1,14,42,120,.561,30,9,55,1,.409,1,2,13-14,
Christian,Moore,UT........,.304,63-61,214,66,65,13,0,17,50,129,.603,50,7,67,2,.444,4,0,16-18,
Brayden,Jobert,LS.........,.301,60-51,193,40,58,11,2,14,49,115,.596,22,14,59,3,.409,1,0,4-6,
Colby,Shelton,UA..........,.300,59-59,203,49,61,10,1,25,51,148,.729,33,10,61,2,.419,2,0,0-1,
Clark,Kellum,MS..........,.299,52-51,187,46,56,11,1,11,29,102,.545,28,2,49,4,.394,1,0,6-6,
Kendall,Diggs,AR..........,.299,58-57,201,51,60,12,1,12,63,110,.547,46,6,47,4,.436,4,0,1-1,
Hines,Hunter,MS..........,.297,52-52,202,44,60,12,0,22,61,138,.683,23,4,64,3,.375,3,0,0-0,
Cade,Kurland,UF...........,.297,68-67,263,75,78,17,0,17,50,146,.555,26,22,64,5,.404,1,0,4-5,
Larry,Amani,MS...........,.297,53-52,172,59,51,16,0,7,30,88,.512,34,17,26,5,.451,3,4,19-21,
Jase,Felker,UK............,.292,55-54,192,53,56,6,3,0,29,68,.354,30,19,50,1,.430,3,11,21-25,
Devin,Burkes,UK...........,.291,61-61,223,55,65,18,1,9,53,112,.502,38,15,53,3,.423,3,4,9-12,
Hank,Zeisler,MO...........,.291,54-54,175,48,51,10,3,15,55,112,.640,42,11,43,4,.441,8,1,6-8,
Gavin,Dugas,LS............,.290,68-66,224,74,65,12,2,17,46,132,.589,44,33,63,6,.464,5,1,1-1,
Ryan,Waldschmidt,UK.......,.290,59-58,200,38,58,14,1,5,37,89,.445,35,15,42,2,.427,3,9,17-19,
Dominic,Tamez,UA..........,.289,49-48,173,26,50,10,1,5,35,77,.445,25,2,31,6,.376,5,0,0-1,
Talmadge,LeCroy,SC........,.289,55-52,180,39,52,10,1,4,42,76,.422,30,16,45,4,.430,2,2,0-0,
Jace,Laviolette,AM........,.287,64-64,223,50,64,10,2,21,63,141,.632,48,4,75,2,.414,5,0,18-22,
Jonathan,Vastine,VU.......,.287,62-62,230,45,66,18,2,5,34,103,.448,25,1,65,2,.355,3,2,5-8,
Hancock,Luke,MS..........,.287,52-52,171,38,49,14,0,5,35,78,.456,42,8,19,5,.438,5,0,0-0,
Tavian,Josenberger,AR.....,.286,52-51,192,51,55,9,0,10,33,94,.490,41,3,51,0,.414,3,2,13-16,
Parks,Harber,UG...........,.283,53-53,212,42,60,8,0,18,56,122,.575,18,2,57,3,.342,2,0,1-1,
Grant,Smith,UK............,.281,61-61,192,37,54,8,0,8,30,86,.448,19,14,54,2,.380,4,11,2-3,
Mason,LaPlante,UG.........,.281,55-54,192,43,54,6,2,4,26,76,.396,17,7,25,2,.358,2,4,10-10,



Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,

Chris,Stanfield,AU........,.280,50-40,164,33,46,8,2,3,22,67,.409,18,4,45,1,.364,1,2,9-11,
Blake,Burke,UT............,.280,65-65,243,48,68,6,3,16,43,128,.527,26,10,49,3,.369,3,0,4-5,
Hunter,Ensley,UT..........,.280,59-50,193,37,54,7,0,7,31,82,.425,24,12,43,4,.391,1,2,6-8,
Enrique,Bradfield,VU......,.279,62-62,233,69,65,13,2,6,34,100,.429,45,10,40,1,.410,5,6,37-44,
Dalton,Bargo,MO...........,.279,50-45,165,25,46,6,3,5,23,73,.442,19,9,44,1,.379,2,0,0-0,
Parker,Noland,VU..........,.277,61-61,231,36,64,12,1,9,39,105,.455,27,6,57,3,.367,0,3,0-1,
Brady,Slavens,AR..........,.277,58-54,213,42,59,14,2,9,42,104,.488,17,5,45,5,.340,3,0,7-7,
Ben,Anderson,UG...........,.277,55-52,213,49,59,12,3,5,28,92,.432,29,3,60,4,.367,3,5,8-10,
Kason,Howell,AU...........,.276,57-57,214,38,59,23,3,4,39,100,.467,27,9,44,3,.377,2,2,6-6,
Anthony,Calarco,UM........,.274,48-48,168,26,46,10,0,5,31,71,.423,24,5,42,4,.379,1,0,0-0,
Jim,Jarvis,UA.............,.273,64-64,249,65,68,10,4,6,30,104,.418,33,12,38,5,.379,4,1,9-11,
Ethan,Groff,UM............,.272,53-53,206,47,56,12,1,6,42,88,.427,29,9,36,4,.379,4,0,16-19,
Zane,Denton,UT............,.269,66-65,212,43,57,9,3,16,59,120,.566,46,5,62,1,.403,5,0,1-2,
Sebastian,Murillo,UG......,.266,54-49,169,28,45,7,0,6,23,70,.414,28,1,52,3,.372,1,6,2-3,
Davis,Diaz,VU.............,.263,62-62,236,56,62,7,1,9,57,98,.415,39,8,45,0,.376,7,1,2-3,
Jordan,Thompson,AM........,.262,60-56,187,39,49,7,0,7,35,77,.412,32,13,40,3,.403,1,0,14-16,
Peyton,Chatagnier,UM......,.261,51-51,176,32,46,7,1,10,26,85,.483,22,1,41,2,.343,2,0,2-4,
Will,David,UG.............,.261,52-47,176,29,46,15,0,6,24,79,.449,18,4,43,2,.338,3,0,1-1,
Gavin,Casas,SC............,.259,61-61,216,60,56,10,0,19,56,123,.569,41,14,64,5,.407,2,0,0-0,
Rj,Austin,VU..............,.257,62-62,241,40,62,11,0,7,43,94,.390,29,7,48,3,.351,2,1,4-7,
Trevor,Werner,AM..........,.252,57-56,218,43,55,13,1,14,52,112,.514,35,1,68,3,.349,7,0,12-15,
Alford,Slate,MS..........,.248,45-40,157,29,39,4,1,9,36,72,.459,14,2,32,4,.313,3,0,0-0,
Colby,Halter,UF...........,.247,59-54,174,29,43,9,4,3,30,69,.397,25,6,34,2,.354,4,7,9-11,
Jordan,Thompson,LS........,.246,71-71,256,50,63,12,1,11,53,110,.430,33,17,71,1,.365,4,3,7-9,
BT,Riopelle,UF............,.246,69-68,240,57,59,11,2,19,67,131,.546,39,12,85,2,.374,3,2,5-6,
Ethan,Lege,UM.............,.243,51-49,181,30,44,10,1,3,20,65,.359,12,14,16,4,.332,4,0,3-4,
Dylan,Brewer,SC...........,.240,56-47,171,48,41,6,0,8,27,71,.415,38,6,61,3,.394,1,2,11-11,
Fernando,Gonzalez,UG......,.234,43-41,137,23,32,9,0,6,18,59,.431,25,5,21,5,.369,1,2,0-0,
Michael,Robertson,UF......,.231,66-56,186,41,43,4,1,1,19,52,.280,33,5,47,2,.360,1,3,11-15,
Austin,Bost,AM............,.226,65-65,234,52,53,15,2,5,43,87,.372,41,8,40,8,.353,6,1,2-3,
Ryan,Targac,AM............,.224,65-64,219,47,49,11,2,10,43,94,.429,43,10,78,6,.370,4,0,11-12,
Caden,Green,AU............,.211,51-48,147,23,31,4,0,2,21,41,.279,21,7,37,4,.331,3,5,2-3,
John,Bolton,AR............,.206,51-51,141,32,29,6,0,0,19,35,.248,26,9,39,4,.358,3,7,7-9,
Cole,Wagner,UG............,.200,46-39,150,24,30,7,0,6,23,55,.367,16,4,47,1,.292,1,1,0-0,
--------------
Matthew,Hoskins,UG........,1.000,1-0,1,0,1,0,0,0,0,1,1.000,0,0,0,0,1.000,0,0,0-0,
Jack,Mosh,MO..............,1.000,2-0,1,1,1,1,0,0,0,2,2.000,1,0,0,0,1.000,0,0,0-0,
Cam,Careswell,MO..........,.667,4-0,3,1,2,1,0,1,2,6,2.000,1,0,0,0,.750,0,0,0-0,
Tim,Simay,UM..............,.667,4-0,3,2,2,0,0,0,0,2,.667,0,0,1,0,.667,0,0,0-0,
David,Cromer,SC...........,.500,8-0,4,0,2,0,0,0,2,2,.500,1,0,1,1,.600,0,0,0-0,
Chris,Veach,SC............,.500,5-0,4,2,2,0,0,0,0,2,.500,0,0,1,0,.500,0,0,0-0,
Ryan,Miller,UT............,.455,12-0,11,8,5,1,0,3,9,15,1.364,5,1,2,0,.647,0,0,0-0,
Peyton,Holt,AR............,.392,31-19,74,24,29,4,2,2,17,43,.581,9,5,13,4,.489,0,0,6-6,
Patrick,Herrera,UK........,.375,12-1,8,5,3,0,0,0,0,3,.375,0,0,2,0,.375,0,0,0-0,
Hoyle,Wil,MS.............,.357,10-0,14,2,5,2,0,0,3,7,.500,1,0,4,0,.400,0,0,0-0,
Hayden,Travinski,LS.......,.356,41-23,104,30,37,5,0,10,30,72,.692,18,4,25,3,.465,1,0,2-2,
Ben,McLaughlin,AR.........,.346,28-21,78,12,27,3,1,2,14,38,.487,11,4,11,1,.442,2,0,0-0,
Garrett,Wood,UM...........,.333,20-3,15,7,5,0,0,0,5,5,.333,3,0,5,0,.444,0,0,0-0,
Ethan,Payne,UT............,.333,14-2,12,4,4,2,0,0,3,6,.500,2,1,7,0,.467,0,2,0-0,
Mason,Swinney,UA..........,.333,12-0,9,3,3,1,0,0,0,4,.444,5,0,2,0,.571,0,0,0-0,
Jd,Rogers,VU..............,.333,11-0,6,3,2,0,0,0,1,2,.333,1,0,2,0,.429,0,0,0-0,
Chance,Bryce,MS..........,.330,36-27,100,24,33,4,0,2,22,43,.430,20,2,15,3,.444,2,1,5-5,
Tab,Tracy,AM..............,.326,24-8,43,11,14,4,0,0,2,18,.419,3,0,14,1,.370,0,0,2-2,
Max,Williams,UA...........,.320,18-3,25,4,8,3,0,0,7,11,.440,5,1,6,0,.452,0,0,1-1,
Will,McGillis,SC..........,.313,31-29,99,29,31,4,1,14,30,79,.798,19,10,23,0,.469,0,0,2-4,
Jared,Wegner,AR...........,.313,43-42,147,46,46,4,2,15,51,99,.673,33,7,42,1,.457,1,0,3-3,
Chris,Maldonado,VU........,.310,45-43,155,28,48,12,0,8,32,84,.542,20,8,37,4,.411,2,2,2-2,
Ross,Lovich,MO............,.306,28-27,98,30,30,9,1,4,21,53,.541,8,6,19,2,.383,3,0,2-5,
Jared,Jones,LS............,.304,55-47,161,37,49,12,0,14,45,103,.640,36,1,69,0,.426,4,0,2-2,
Kavares,Tears,UT..........,.304,29-14,56,12,17,6,0,2,11,29,.518,7,1,18,2,.379,2,0,0-1,
Will,Plattner,UM..........,.300,7-2,10,4,3,1,0,0,0,4,.400,2,0,4,1,.417,0,1,0-0,
Will,Furniss,UM...........,.298,48-38,131,18,39,4,0,3,15,52,.397,13,2,33,4,.367,1,0,1-1,
Dylan,Dreiling,UT.........,.295,50-24,95,20,28,6,2,7,20,59,.621,24,0,20,0,.433,1,0,1-1,
Nolan,McCarthy,UK.........,.290,43-34,138,21,40,9,1,4,28,63,.457,11,2,40,4,.351,0,2,1-4,



Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,

Deric,Fabian,UF...........,.289,22-10,38,9,11,0,0,2,10,17,.447,5,1,11,0,.386,0,0,5-5,
Paxton,Kling,LS...........,.289,57-22,90,29,26,5,2,4,9,47,.522,9,6,27,0,.390,0,1,3-3,
Alex,Milazzo,LS...........,.289,53-25,97,21,28,1,0,0,15,29,.299,12,1,23,5,.369,1,7,1-1,
Reuben,Church,UK..........,.286,33-27,91,18,26,3,0,3,20,38,.418,12,12,27,2,.427,2,1,0-0,
Matt,Prevesk,UF...........,.286,22-7,42,5,12,2,0,1,9,17,.405,2,0,11,1,.311,1,0,0-0,
Mershon,David,MS.........,.280,30-25,82,16,23,2,0,0,5,25,.305,20,1,17,1,.427,0,4,12-13,
Matthew,Polk,VU...........,.280,48-46,150,29,42,8,1,4,23,64,.427,5,13,37,0,.353,2,2,4-4,
Will,Hodo,UA..............,.280,39-24,100,20,28,2,0,4,21,42,.420,16,7,23,1,.411,1,0,0-0,
Tyler,Shelnut,UF..........,.277,53-50,173,30,48,13,0,7,28,82,.474,23,4,49,4,.371,2,0,0-1,
Alan,Espinal,VU...........,.275,34-25,91,20,25,5,0,5,21,45,.495,11,1,33,0,.359,0,0,1-1,
Gavin,Miller,AU...........,.273,14-4,22,3,6,2,0,0,2,8,.364,4,3,8,0,.448,0,0,0-0,
Stanley,Tucker,AM.........,.273,20-3,22,8,6,2,0,0,2,8,.364,5,0,6,0,.407,0,0,4-4,
Dwight,Allen,II,UG........,.273,12-3,11,3,3,1,0,0,5,4,.364,2,1,4,0,.429,0,0,2-2,
Cooper,Mcmurray,AU........,.272,43-41,136,37,37,6,0,14,49,85,.625,45,4,51,1,.460,2,0,1-1,
Bryce,Eblin,UA............,.268,40-22,82,16,22,3,0,2,17,31,.378,8,1,14,1,.333,2,2,1-3,
Corey,Collins,UG..........,.267,33-32,105,19,28,5,1,6,20,53,.505,21,7,25,1,.415,2,0,0-0,
Christian,Scott,UT........,.266,64-46,154,37,41,7,1,7,34,71,.461,30,3,52,2,.396,0,5,12-12,
John,Kramer,UM............,.265,24-14,49,8,13,2,0,2,8,21,.429,12,1,9,0,.419,0,0,0-0,
Kaeden,Kent,AM............,.265,28-21,83,9,22,4,1,1,23,31,.373,8,1,17,7,.330,2,0,3-4,
Brett,Minnich,AM..........,.263,38-38,133,22,35,4,0,10,34,69,.519,27,2,42,2,.390,2,0,4-4,
Ethan,Frey,LS.............,.263,19-2,19,3,5,1,0,0,9,6,.316,3,0,6,0,.348,1,0,0-1,
Reese,Chapman,UT..........,.263,15-2,19,7,5,0,0,2,7,11,.579,3,2,3,1,.417,0,0,1-1,
Troy,Laneve,VU............,.262,21-8,42,6,11,1,0,3,14,21,.500,4,0,16,0,.326,0,0,0-0,
Caden,Rose,UA.............,.261,48-46,153,45,40,10,0,9,26,77,.503,26,4,40,4,.383,0,3,9-10,
Downs,Aaron,MS...........,.261,19-2,23,4,6,0,0,0,1,6,.261,5,0,9,1,.393,0,0,0-0,
Mac,Guscette,UA...........,.260,48-43,146,28,38,5,0,9,34,70,.479,13,7,24,2,.345,2,3,0-0,
Carlos,Pe<f1>a,MO............,.257,17-9,35,4,9,0,1,1,4,14,.400,7,0,16,1,.372,1,0,0-0,
Michael,Braswell,SC.......,.255,51-37,153,21,39,8,2,1,23,54,.353,28,1,40,6,.372,1,0,1-2,
Peyton,Stovall,AR.........,.253,38-38,150,30,38,4,1,5,31,59,.393,15,5,27,1,.330,6,0,3-4,
Dale,Thomas,UF............,.250,30-14,48,12,12,3,1,1,4,20,.417,14,1,17,0,.429,0,1,0-1,
Travis,Chestnut,AM........,.250,20-2,20,7,5,1,0,1,7,9,.450,2,0,6,0,.318,0,1,1-2,
Josh,Hall,AU..............,.250,22-3,16,6,4,0,0,0,4,4,.250,3,0,7,0,.368,0,0,1-1,
